pair_id,reach_id,k,i,j,iseg,ireach
119^136,944,0,55,25,120,8
119^136,945,0,56,25,120,9
119^136,946,0,57,25,120,10
119^136,947,0,58,25,120,11
119^136,948,0,59,25,120,12
119^136,949,0,59,24,120,13
119^136,950,0,59,25,120,14
119^136,951,0,60,25,120,15
119^136,1255,0,60,25,161,1
119^136,1256,0,61,25,161,2
119^136,1257,0,61,26,161,3
119^136,1266,0,61,26,164,1
119^136,1267,0,62,26,164,2
119^136,1268,0,62,27,164,3
119^136,1269,0,62,28,164,4
121^147,1560,0,65,53,212,7
121^147,1563,0,65,53,214,1
121^147,1564,0,66,53,214,2
121^147,1565,0,65,54,214,3
121^147,1566,0,64,55,214,4
121^147,1572,0,65,55,217,1
121^147,1573,0,65,56,217,2
121^147,1597,0,66,56,221,1
121^147,1598,0,66,57,221,2
127^119,47,0,54,13,9,3
127^119,796,0,54,13,105,1
127^119,797,0,55,13,105,2
127^119,798,0,55,14,105,3
127^119,799,0,55,15,105,4
127^119,800,0,54,15,105,5
127^119,801,0,54,14,105,6
127^119,802,0,54,15,105,7
127^119,803,0,54,16,105,8
127^119,804,0,54,15,105,9
127^119,805,0,54,16,105,10
127^119,806,0,54,17,105,11
127^119,807,0,55,17,105,12
127^119,808,0,54,17,105,13
127^119,809,0,55,17,105,14
127^119,810,0,55,18,105,15
127^119,811,0,54,19,105,16
127^119,902,0,54,19,112,1
127^119,903,0,54,20,112,2
127^119,904,0,53,20,112,3
127^119,905,0,54,20,112,4
127^119,906,0,54,21,112,5
127^119,907,0,55,21,112,6
127^119,908,0,55,22,112,7
127^119,909,0,54,22,112,8
127^119,937,0,54,23,120,1
127^119,938,0,55,23,120,2
127^119,939,0,55,24,120,3
127^119,940,0,55,23,120,4
127^119,941,0,54,23,120,5
127^119,942,0,54,24,120,6
127^119,943,0,55,24,120,7
127^119,944,0,55,25,120,8
130^121,1499,0,66,36,203,1
130^121,1500,0,66,37,203,2
130^121,1501,0,66,38,203,3
130^121,1502,0,66,39,203,4
130^121,1503,0,65,39,203,5
130^121,1504,0,65,40,203,6
130^121,1505,0,64,40,203,7
130^121,1506,0,64,41,203,8
130^121,1514,0,64,41,206,1
130^121,1515,0,65,41,206,2
130^121,1516,0,64,41,206,3
130^121,1517,0,65,41,206,4
130^121,1518,0,64,42,206,5
130^121,1519,0,64,43,206,6
130^121,1520,0,64,44,206,7
130^121,1521,0,64,45,206,8
130^121,1526,0,63,45,208,1
130^121,1527,0,63,46,208,2
130^121,1528,0,63,47,208,3
130^121,1554,0,63,47,212,1
