Site,SiteID,geometry,count,flow_median,segnum,reachID,k,i,j,iseg,ireach
Black Stream U/S Kahahakuri Confluence,1,POINT (1898747 5571115),13,54229.824,8169920,729,0,61,56,98,14
Farm Stream at Creek Rd,2,POINT (1898813.9 5590438.1),5,3196.8,8162628,105,0,23,56,15,9
Farm Stream at Creek Rd_gaugings,3,POINT (1898813.9 5590438.1),5,3196.8,8162628,105,0,23,56,15,9
Kahahakuri Stream D/S Trib 10,4,POINT (1900471.9 5572464.2),1,27172.800000000003,8169409,1181,0,59,59,146,2
Kahahakuri Stream D/S Waipawamate/Trib,5,POINT (1899583.5 5570835.9),1,26834.976,8170048,1187,0,62,57,147,4
Kahahakuri Stream U/S Trib 8,6,POINT (1899996.7 5571525.5),1,29185.920000000002,8170048,1184,0,60,58,147,1
Kahahakuri Stream U/S Trib 9,7,POINT (1899986.6 5571635.5),1,28788.48,8169409,1183,0,60,58,146,4
Kahahakuri Stream U/S Tukituki Confl,8,POINT (1899348.6 5568929.5),9,49692.96,8170426,1194,0,66,57,148,5
Kahahakuri Stream U/S Tukituki Confl_gaugings,9,POINT (1899348.6 5568929.5),9,49692.96,8170426,1194,0,66,57,148,5
Kahahakuri Stream U/S Waipawamate,10,POINT (1899718.5 5571124.1),1,26524.800000000003,8170048,1185,0,61,58,147,2
Kahahakuri Stream at Goldwater Orchard,11,POINT (1896615.5 5575927),1,1468.8000000000002,8168156,1157,0,52,52,142,7
Kahahakuri Stream at Lindsay Road,12,POINT (1899318.5 5569222.7),13,54229.824,8170426,1193,0,65,57,148,4
Kahahakuri Stream at Lindsay Road_gaugings,13,POINT (1899318.5 5569222.7),13,54229.824,8170426,1193,0,65,57,148,4
Kahahakuri Stream at Middle,14,POINT (1897917.2 5575462.1),1,25574.4,8168776,1166,0,53,54,144,1
Kahahakuri Stream at Ongaonga Rd Br,15,POINT (1899636 5574002.2),24,27116.64,8168776,1172,0,56,58,144,7
Kahahakuri Stream at Ongaonga Rd Br_gaugings,16,POINT (1899636 5574002.2),24,27116.64,8168776,1172,0,56,58,144,7
Kahahakuri Stream at Plantation Rd Br,17,POINT (1895099.4 5576212.9),4,0.0,8167925,568,0,51,48,79,33
Kahahakuri Stream at Plantation Rd Br_gaugings,18,POINT (1895099.4 5576212.9),4,0.0,8167925,568,0,51,48,79,33
Kahahakuri Stream at S.H.50,19,POINT (1892312.2 5577627.4),4,33696.0,8167886,611,0,48,43,81,2
Kahahakuri Stream at S.H.50_gaugings,20,POINT (1892312.2 5577627.4),4,33696.0,8167886,611,0,48,43,81,2
Kahahakuri Trib at Chestermans Bridge,21,POINT (1893016.3 5579464.8),5,0.0,8167925,558,0,45,44,79,23
Kahahakuri Trib at Chestermans Bridge_gaugings,22,POINT (1893016.3 5579464.8),5,0.0,8167925,558,0,45,44,79,23
Kahahakuri Trib at Tributary No.1,23,POINT (1898817.9 5571124),6,14990.400000000001,8169920,729,0,61,56,98,14
Kahahakuri Trib at Tributary No.1_gaugings,24,POINT (1898817.9 5571124),6,14990.400000000001,8169920,729,0,61,56,98,14
Maharakeke Stream U/S Makaretu,25,POINT (1897017 5568622),2,28244.16,8170579,1442,0,66,52,190,8
Maharakeke Stream at Limeworks Stn Rd,26,POINT (1894133.7 5563828.3),12,8268.48,8172021,1402,0,76,47,181,4
Maharakeke Stream at Limeworks Stn Rd_gaugings,27,POINT (1894133.7 5563828.3),12,8268.48,8172021,1402,0,76,47,181,4
Maharakeke Stream at State Highway 2 Br,28,POINT (1896816.9 5568221.6),19,17228.16,8170579,1441,0,67,52,190,7
Maharakeke Stream at State Highway 2 Br_gaugings,29,POINT (1896816.9 5568221.6),19,17228.16,8170579,1441,0,67,52,190,7
Maharakeke Strm US Unnamed Seeforth Trib,30,POINT (1891720.3 5562013.8),7,10411.200000000003,8172683,1225,0,79,42,153,17
Maharakeke Strm US Unnamed Seeforth Trib_gaugings,31,POINT (1891720.3 5562013.8),7,10411.200000000003,8172683,1225,0,79,42,153,17
Maharakeke Strm at Hinerangi Rd,32,POINT (1889612.3 5559021.6),7,7992.000000000001,8173460,900,0,85,38,110,3
Maharakeke Strm at Hinerangi Rd_gaugings,33,POINT (1889612.3 5559021.6),7,7992.000000000001,8173460,900,0,85,38,110,3
Makaretu Stream 500M U/S Power Lines,34,POINT (1881207.2 5565217.3),3,51269.76,8171738,1130,0,73,21,140,21
Makaretu Stream U/S Maharakeke,35,POINT (1897017 5568822.1),5,50025.600000000006,8170570,1396,0,66,52,178,30
Makaretu Stream U/S Maharakeke_gaugings,36,POINT (1897017 5568822.1),5,50025.600000000006,8170570,1396,0,66,52,178,30
