,Site,SiteID,count,flow_media,segnum,reachID,k,i,j,iseg,ireach,geometry,reachid
0,Black Stream U/S Kahahakuri Confluence,1,13,54229.824,8169920,729,0,61,56,98,14,POINT (1898747 5571115),729
1,Farm Stream at Creek Rd,2,5,3196.8,8162628,105,0,23,56,15,9,POINT (1898813.9 5590438.1),105
2,Farm Stream at Creek Rd_gaugings,3,5,3196.8,8162628,105,0,23,56,15,9,POINT (1898813.9 5590438.1),105
3,Kahahakuri Stream D/S Trib 10,4,1,27172.800000000003,8169409,1181,0,59,59,146,2,POINT (1900471.9 5572464.2),1181
4,Kahahakuri Stream D/S Waipawamate/Trib,5,1,26834.976,8170048,1187,0,62,57,147,4,POINT (1899583.5 5570835.9),1187
5,Kahahakuri Stream U/S Trib 8,6,1,29185.920000000002,8170048,1184,0,60,58,147,1,POINT (1899996.7 5571525.5),1184
6,Kahahakuri Stream U/S Trib 9,7,1,28788.48,8169409,1183,0,60,58,146,4,POINT (1899986.6 5571635.5),1183
7,Kahahakuri Stream U/S Tukituki Confl,8,9,49692.96,8170426,1194,0,66,57,148,5,POINT (1899348.6 5568929.5),1194
8,Kahahakuri Stream U/S Tukituki Confl_gaugings,9,9,49692.96,8170426,1194,0,66,57,148,5,POINT (1899348.6 5568929.5),1194
9,Kahahakuri Stream U/S Waipawamate,10,1,26524.800000000003,8170048,1185,0,61,58,147,2,POINT (1899718.5 5571124.1),1185
10,Kahahakuri Stream at Goldwater Orchard,11,1,1468.8000000000002,8168156,1157,0,52,52,142,7,POINT (1896615.5 5575927),1157
11,Kahahakuri Stream at Lindsay Road,12,13,54229.824,8170426,1193,0,65,57,148,4,POINT (1899318.5 5569222.7),1193
12,Kahahakuri Stream at Lindsay Road_gaugings,13,13,54229.824,8170426,1193,0,65,57,148,4,POINT (1899318.5 5569222.7),1193
13,Kahahakuri Stream at Middle,14,1,25574.4,8168776,1166,0,53,54,144,1,POINT (1897917.2 5575462.1),1166
14,Kahahakuri Stream at Ongaonga Rd Br,15,24,27116.64,8168776,1172,0,56,58,144,7,POINT (1899636 5574002.2),1172
15,Kahahakuri Stream at Ongaonga Rd Br_gaugings,16,24,27116.64,8168776,1172,0,56,58,144,7,POINT (1899636 5574002.2),1172
