date,pair_id,upstream_id,upstream_name,upstream_segnum,downstream_id,downstream_name,downstream_segnum,flow_diff,flow_diff_sign,Unnamed: 0,n,perc_max,sign_max,flow_dir_fin,signficant,tribs,remove,keep,weight,comments,revisit,subtract_tribs,losing_with_tribs,mean_ls,median_ls,mean_m3d,median_m3d
1973-01-23,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,-8726.4,-1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
1973-02-06,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,-259.2,0,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2001-10-04,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,6739.2,1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2001-12-04,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,19094.4,1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2004-11-08,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,21686.4,1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2005-01-17,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,19094.4,1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2005-04-06,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,11318.4,1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2008-12-17,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,319.68,0,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2009-01-21,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,9685.44,1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2009-02-04,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,2652.48,1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2009-03-04,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,29021.76,1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2009-03-18,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,10972.8,1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2009-04-01,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,103.68,0,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2009-06-24,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,20399.04,1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
2020-03-03,44^49,44,Makaretu Stream at Pagetts Road,8171340,49,Makaretu Stream at State Highway 50,8171496,-2064.96,-1,66,15,66.7,1,mostly gaining,,yes,,1.0,7.0,the weight is not 10 as there are tribs btn the two sites,,,,108.1,112.1,9339.8,9685.4
1973-01-23,49^37,49,Makaretu Stream at State Highway 50,8171496,37,Makaretu Stream U/S Tukipo,8170495,-21600.0,-1,67,10,90.0,-1,definitely losing,,yes,1.0,1.0,8.0,interesting mostly losing even with Maharakeke input. These flow difference values are after subtracting maharakeke input. Long distance. In some surveys some of the sites are gaining between this pair. ,1.0,,,-285.9,-324.3,-24701.8,-28019.5
1973-02-06,49^37,49,Makaretu Stream at State Highway 50,8171496,37,Makaretu Stream U/S Tukipo,8170495,-11923.2,-1,67,10,90.0,-1,definitely losing,,yes,1.0,1.0,8.0,interesting mostly losing even with Maharakeke input. These flow difference values are after subtracting maharakeke input. Long distance. In some surveys some of the sites are gaining between this pair. ,1.0,,,-285.9,-324.3,-24701.8,-28019.5
2008-12-17,49^37,49,Makaretu Stream at State Highway 50,8171496,37,Makaretu Stream U/S Tukipo,8170495,-30360.96,-1,67,10,90.0,-1,definitely losing,,yes,1.0,1.0,8.0,interesting mostly losing even with Maharakeke input. These flow difference values are after subtracting maharakeke input. Long distance. In some surveys some of the sites are gaining between this pair. ,1.0,,,-285.9,-324.3,-24701.8,-28019.5
2009-01-21,49^37,49,Makaretu Stream at State Highway 50,8171496,37,Makaretu Stream U/S Tukipo,8170495,-33791.04,-1,67,10,90.0,-1,definitely losing,,yes,1.0,1.0,8.0,interesting mostly losing even with Maharakeke input. These flow difference values are after subtracting maharakeke input. Long distance. In some surveys some of the sites are gaining between this pair. ,1.0,,,-285.9,-324.3,-24701.8,-28019.5
2009-02-04,49^37,49,Makaretu Stream at State Highway 50,8171496,37,Makaretu Stream U/S Tukipo,8170495,-21833.28,-1,67,10,90.0,-1,definitely losing,,yes,1.0,1.0,8.0,interesting mostly losing even with Maharakeke input. These flow difference values are after subtracting maharakeke input. Long distance. In some surveys some of the sites are gaining between this pair. ,1.0,,,-285.9,-324.3,-24701.8,-28019.5
2009-03-04,49^37,49,Makaretu Stream at State Highway 50,8171496,37,Makaretu Stream U/S Tukipo,8170495,-30888.0,-1,67,10,90.0,-1,definitely losing,,yes,1.0,1.0,8.0,interesting mostly losing even with Maharakeke input. These flow difference values are after subtracting maharakeke input. Long distance. In some surveys some of the sites are gaining between this pair. ,1.0,,,-285.9,-324.3,-24701.8,-28019.5
2009-03-18,49^37,49,Makaretu Stream at State Highway 50,8171496,37,Makaretu Stream U/S Tukipo,8170495,-25678.08,-1,67,10,90.0,-1,definitely losing,,yes,1.0,1.0,8.0,interesting mostly losing even with Maharakeke input. These flow difference values are after subtracting maharakeke input. Long distance. In some surveys some of the sites are gaining between this pair. ,1.0,,,-285.9,-324.3,-24701.8,-28019.5
2009-04-01,49^37,49,Makaretu Stream at State Highway 50,8171496,37,Makaretu Stream U/S Tukipo,8170495,-32313.6,-1,67,10,90.0,-1,definitely losing,,yes,1.0,1.0,8.0,interesting mostly losing even with Maharakeke input. These flow difference values are after subtracting maharakeke input. Long distance. In some surveys some of the sites are gaining between this pair. ,1.0,,,-285.9,-324.3,-24701.8,-28019.5
2009-06-24,49^37,49,Makaretu Stream at State Highway 50,8171496,37,Makaretu Stream U/S Tukipo,8170495,-39847.68,-1,67,10,90.0,-1,definitely losing,,yes,1.0,1.0,8.0,interesting mostly losing even with Maharakeke input. These flow difference values are after subtracting maharakeke input. Long distance. In some surveys some of the sites are gaining between this pair. ,1.0,,,-285.9,-324.3,-24701.8,-28019.5
2020-03-03,49^37,49,Makaretu Stream at State Highway 50,8171496,37,Makaretu Stream U/S Tukipo,8170495,1244.16,1,67,10,90.0,-1,definitely losing,,yes,1.0,1.0,8.0,interesting mostly losing even with Maharakeke input. These flow difference values are after subtracting maharakeke input. Long distance. In some surveys some of the sites are gaining between this pair. ,1.0,,,-285.9,-324.3,-24701.8,-28019.5
